OKFT	BTC/USD1W	413.9700000000	416.4000000000	411.8200000000	416.3600000000	573324.0000000000	2016-04-01 00:00:00	2016-04-01 23:59:59
OKFT	BTC/USD1W	416.3600000000	422.2300000000	415.9900000000	420.3300000000	523904.0000000000	2016-04-02 00:00:00	2016-04-02 23:59:59
OKFT	BTC/USD1W	420.2200000000	421.4500000000	418.0100000000	420.2900000000	513834.0000000000	2016-04-03 00:00:00	2016-04-03 23:59:59
OKFT	BTC/USD1W	420.1200000000	420.8900000000	417.1400000000	419.8800000000	564584.0000000000	2016-04-04 00:00:00	2016-04-04 23:59:59
OKFT	BTC/USD1W	419.4900000000	424.6900000000	419.0900000000	423.3500000000	521856.0000000000	2016-04-05 00:00:00	2016-04-05 23:59:59
OKFT	BTC/USD1W	423.3100000000	424.1900000000	420.2400000000	422.2300000000	540612.0000000000	2016-04-06 00:00:00	2016-04-06 23:59:59
OKFT	BTC/USD1W	421.8900000000	422.1100000000	417.6000000000	420.9700000000	593300.0000000000	2016-04-07 00:00:00	2016-04-07 23:59:59
OKFT	BTC/USD1W	420.7200000000	423.9200000000	413.1500000000	416.0300000000	800530.0000000000	2016-04-08 00:00:00	2016-04-08 23:59:59
OKFT	BTC/USD1W	416.0400000000	417.2000000000	408.9600000000	416.6400000000	786354.0000000000	2016-04-09 00:00:00	2016-04-09 23:59:59
OKFT	BTC/USD1W	416.7500000000	421.4800000000	414.5100000000	420.0400000000	578698.0000000000	2016-04-10 00:00:00	2016-04-10 23:59:59
OKFT	BTC/USD1W	420.0700000000	422.7200000000	417.6000000000	421.7600000000	653086.0000000000	2016-04-11 00:00:00	2016-04-11 23:59:59
OKFT	BTC/USD1W	421.7700000000	431.1600000000	421.3100000000	425.3900000000	955418.0000000000	2016-04-12 00:00:00	2016-04-12 23:59:59
OKFT	BTC/USD1W	424.8700000000	428.2600000000	421.4500000000	424.0700000000	725582.0000000000	2016-04-13 00:00:00	2016-04-13 23:59:59
OKFT	BTC/USD1W	424.0600000000	425.9800000000	423.3000000000	424.6100000000	625074.0000000000	2016-04-14 00:00:00	2016-04-14 23:59:59
OKFT	BTC/USD1W	424.5200000000	432.8500000000	424.3400000000	431.4900000000	837630.0000000000	2016-04-15 00:00:00	2016-04-15 23:59:59
OKFT	BTC/USD1W	431.4000000000	435.4900000000	428.8900000000	431.1800000000	737114.0000000000	2016-04-16 00:00:00	2016-04-16 23:59:59
OKFT	BTC/USD1W	431.3700000000	433.2800000000	425.0700000000	428.5100000000	674316.0000000000	2016-04-17 00:00:00	2016-04-17 23:59:59
OKFT	BTC/USD1W	428.6100000000	431.2500000000	428.2000000000	430.5800000000	609096.0000000000	2016-04-18 00:00:00	2016-04-18 23:59:59
OKFT	BTC/USD1W	431.0400000000	440.4300000000	428.9000000000	438.2100000000	813102.0000000000	2016-04-19 00:00:00	2016-04-19 23:59:59
OKFT	BTC/USD1W	438.1500000000	448.3100000000	437.0400000000	444.0800000000	947934.0000000000	2016-04-20 00:00:00	2016-04-20 23:59:59
OKFT	BTC/USD1W	443.9900000000	456.4300000000	442.8700000000	451.1800000000	1008896.0000000000	2016-04-21 00:00:00	2016-04-21 23:59:59
OKFT	BTC/USD1W	451.3200000000	452.6200000000	444.0100000000	450.0300000000	951614.0000000000	2016-04-22 00:00:00	2016-04-22 23:59:59
OKFT	BTC/USD1W	449.9800000000	460.2000000000	448.6900000000	458.6000000000	913748.0000000000	2016-04-23 00:00:00	2016-04-23 23:59:59
OKFT	BTC/USD1W	458.6000000000	469.6900000000	452.3800000000	465.8200000000	1241276.0000000000	2016-04-24 00:00:00	2016-04-24 23:59:59
OKFT	BTC/USD1W	465.8200000000	473.9700000000	457.5700000000	464.2800000000	1299452.0000000000	2016-04-25 00:00:00	2016-04-25 23:59:59
OKFT	BTC/USD1W	464.2800000000	472.7900000000	462.7200000000	468.2300000000	1010524.0000000000	2016-04-26 00:00:00	2016-04-26 23:59:59
OKFT	BTC/USD1W	468.1600000000	470.7200000000	441.0000000000	446.1500000000	1241602.0000000000	2016-04-27 00:00:00	2016-04-27 23:59:59
OKFT	BTC/USD1W	446.3800000000	449.5500000000	428.8100000000	448.9700000000	1073760.0000000000	2016-04-28 00:00:00	2016-04-28 23:59:59
OKFT	BTC/USD1W	448.8300000000	455.2000000000	444.1300000000	454.6700000000	774036.0000000000	2016-04-29 00:00:00	2016-04-29 23:59:59
